match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home
14698,2020,2021-03-08,Chelsea,Everton,home,Chelsea,Everton,64,2,0,2,0,2,0,W,True
14700,2020,2021-03-07,Manchester City,Manchester United,away,Manchester United,Manchester City,49,2,0,0,2,2,0,W,False
14701,2020,2021-03-06,Sheffield United,Southampton,away,Southampton,Sheffield United,48,2,0,0,2,2,0,W,False
14702,2020,2021-03-07,Tottenham,Crystal Palace,home,Tottenham,Crystal Palace,51,3,1,4,1,4,1,W,True
14704,2020,2021-03-08,West Ham,Leeds,home,West Ham,Leeds,27,2,0,2,0,2,0,W,True
14707,2020,2021-03-13,Everton,Burnley,away,Burnley,Everton,24,2,0,1,2,2,1,W,False
14708,2020,2021-03-13,Fulham,Manchester City,away,Manchester City,Fulham,55,2,0,0,3,3,0,W,False
14710,2020,2021-03-14,Leicester,Sheffield United,home,Leicester,Sheffield United,63,2,0,5,0,5,0,W,True
14715,2020,2021-03-20,Brighton,Newcastle United,home,Brighton,Newcastle United,50,2,0,3,0,3,0,W,True
14720,2020,2021-03-02,Manchester City,Wolverhampton Wanderers,home,Manchester City,Wolverhampton Wanderers,89,3,1,4,1,4,1,W,True
14724,2020,2021-03-21,West Ham,Arsenal,home,West Ham,Arsenal,16,2,0,3,3,3,3,D,True
14725,2020,2021-04-03,Arsenal,Liverpool,away,Liverpool,Arsenal,67,2,0,0,3,3,0,W,False
14726,2020,2021-04-04,Aston Villa,Fulham,home,Aston Villa,Fulham,86,3,1,3,1,3,1,W,True
14727,2020,2021-04-03,Chelsea,West Bromwich Albion,away,West Bromwich Albion,Chelsea,62,3,1,2,5,5,2,W,False
14730,2020,2021-04-03,Leicester,Manchester City,away,Manchester City,Leicester,73,2,0,0,2,2,0,W,False
14733,2020,2021-04-04,Southampton,Burnley,away,Burnley,Southampton,27,2,0,3,2,2,3,L,False
14734,2020,2021-04-05,Wolverhampton Wanderers,West Ham,away,West Ham,Wolverhampton Wanderers,13,2,0,2,3,3,2,W,False
14737,2020,2021-04-10,Crystal Palace,Chelsea,away,Chelsea,Crystal Palace,9,2,0,1,4,4,1,W,False
14741,2020,2021-04-11,Sheffield United,Arsenal,away,Arsenal,Sheffield United,70,2,0,0,3,3,0,W,False
14742,2020,2021-04-11,Tottenham,Manchester United,away,Manchester United,Tottenham,95,3,1,1,3,3,1,W,False
14743,2020,2021-04-12,West Bromwich Albion,Southampton,home,West Bromwich Albion,Southampton,34,2,0,3,0,3,0,W,True
14744,2020,2021-04-11,West Ham,Leicester,home,West Ham,Leicester,43,2,0,3,2,3,2,W,True
14750,2020,2021-04-22,Leicester,West Bromwich Albion,home,Leicester,West Bromwich Albion,25,2,0,3,0,3,0,W,True
14751,2020,2021-04-18,Manchester United,Burnley,home,Manchester United,Burnley,92,3,1,3,1,3,1,W,True
14752,2020,2021-04-17,Newcastle United,West Ham,home,Newcastle United,West Ham,40,2,0,3,2,3,2,W,True
14753,2020,2021-05-11,Southampton,Crystal Palace,home,Southampton,Crystal Palace,74,3,1,3,1,3,1,W,True
14761,2020,2021-03-10,Manchester City,Southampton,home,Manchester City,Southampton,47,3,1,5,2,5,2,W,True
14764,2020,2021-04-25,Wolverhampton Wanderers,Burnley,away,Burnley,Wolverhampton Wanderers,20,2,0,0,4,4,0,W,False
14765,2020,2021-05-01,Brighton,Leeds,home,Brighton,Leeds,78,2,0,2,0,2,0,W,True
14767,2020,2021-05-01,Chelsea,Fulham,home,Chelsea,Fulham,48,2,0,2,0,2,0,W,True
14768,2020,2021-05-01,Crystal Palace,Manchester City,away,Manchester City,Crystal Palace,58,2,0,0,2,2,0,W,False
14770,2020,2021-05-13,Manchester United,Liverpool,away,Liverpool,Manchester United,47,3,1,2,4,4,2,W,False
14771,2020,2021-05-02,Newcastle United,Arsenal,away,Arsenal,Newcastle United,65,2,0,0,2,2,0,W,False
14773,2020,2021-05-02,Tottenham,Sheffield United,home,Tottenham,Sheffield United,60,2,0,4,0,4,0,W,True
14775,2020,2021-05-09,Arsenal,West Bromwich Albion,home,Arsenal,West Bromwich Albion,34,2,0,3,1,3,1,W,True
14776,2020,2021-05-09,Aston Villa,Manchester United,away,Manchester United,Aston Villa,86,3,1,1,3,3,1,W,False
14777,2020,2021-05-10,Fulham,Burnley,away,Burnley,Fulham,43,2,0,0,2,2,0,W,False
