match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home,leader_team_norm,opponent_team_norm,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
11983,2019,2020-07-12,Aston Villa,Crystal Palace,home,Aston Villa,Crystal Palace,58,2,0,2,0,2,0,W,True,Aston Villa,Crystal Palace,0.0,1.0,2.29,3.24,3.35,0.4366812227074236,Moderate
11984,2019,2020-07-12,Bournemouth,Leicester,home,Bournemouth,Leicester,82,3,1,4,1,4,1,W,True,AFC Bournemouth,Leicester City,0.0,1.0,5.14,1.7,3.82,0.19455252918287938,Underdog
11985,2019,2020-07-11,Brighton,Manchester City,away,Manchester City,Brighton,43,2,0,0,5,5,0,W,False,Manchester City,Brighton,0.0,0.0,1.31,9.95,5.62,0.7633587786259541,Strong Favorite
11988,2019,2020-07-11,Norwich,West Ham,away,West Ham,Norwich,45,2,0,0,4,4,0,W,False,West Ham United,Norwich City,0.0,0.0,1.99,3.76,3.65,0.5025125628140703,Moderate
11989,2019,2020-07-11,Sheffield United,Chelsea,home,Sheffield United,Chelsea,32,2,0,3,0,3,0,W,True,Sheffield United,Chelsea,0.0,0.0,6.07,1.6,3.93,0.16474464579901152,Underdog
11992,2019,2020-07-12,Wolverhampton Wanderers,Everton,home,Wolverhampton Wanderers,Everton,46,2,0,3,0,3,0,W,True,Wolverhampton Wanderers,Everton,0.0,0.0,2.06,4.01,3.25,0.4854368932038835,Moderate
11996,2019,2020-07-16,Crystal Palace,Manchester United,away,Manchester United,Crystal Palace,77,2,0,0,2,2,0,W,False,Manchester United,Crystal Palace,0.0,0.0,1.35,9.84,5.0,0.7407407407407407,Strong Favorite
11998,2019,2020-07-16,Leicester,Sheffield United,home,Leicester,Sheffield United,78,2,0,2,0,2,0,W,True,Leicester City,Sheffield United,0.0,0.0,2.02,4.01,3.34,0.49504950495049505,Moderate
11999,2019,2020-07-15,Manchester City,Bournemouth,home,Manchester City,Bournemouth,38,2,0,2,1,2,1,W,True,Manchester City,AFC Bournemouth,0.0,0.0,1.15,16.72,8.68,0.8695652173913044,Strong Favorite
12000,2019,2020-07-15,Newcastle United,Tottenham,away,Tottenham,Newcastle United,89,3,1,1,3,3,1,W,False,Tottenham,Newcastle United,0.0,0.0,1.79,4.56,3.77,0.5586592178770949,Moderate
12001,2019,2020-07-17,West Ham,Watford,home,West Ham,Watford,9,2,0,3,1,3,1,W,True,West Ham United,Watford,0.0,0.0,2.42,3.31,3.04,0.4132231404958678,Underdog
12004,2019,2020-07-19,Bournemouth,Southampton,away,Southampton,Bournemouth,97,2,0,0,2,2,0,W,False,Southampton,AFC Bournemouth,0.0,0.0,2.84,2.39,3.65,0.35211267605633806,Underdog
12006,2019,2020-07-22,Liverpool,Chelsea,home,Liverpool,Chelsea,37,2,0,5,3,5,3,W,True,Liverpool,Chelsea,0.0,0.0,2.04,3.51,3.7,0.49019607843137253,Moderate
12008,2019,2020-07-18,Norwich,Burnley,away,Burnley,Norwich,79,2,0,0,2,2,0,W,False,Burnley,Norwich City,0.0,2.0,2.25,3.32,3.33,0.4444444444444444,Moderate
12010,2019,2020-07-19,Tottenham,Leicester,home,Tottenham,Leicester,36,2,0,3,0,3,0,W,True,Tottenham,Leicester City,0.0,0.0,2.32,3.11,3.42,0.4310344827586207,Moderate
