event_id,match_key,season_key,leader_team_key,opponent_team_key,bucket_key,minute_reached_plus2,stoppage_flag,leader_is_home,score_at_event_leader,score_at_event_opponent,score_at_event_display,final_leader_goals,final_opponent_goals,result_for_leader,is_win,is_draw,is_loss,points_earned,points_dropped,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
7126_Manchester City,7126,2017-2018,Manchester City,Brighton,61-75,74,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.33,11.0,5.5,0.7518796992481203,Strong Favorite
7127_Tottenham,7127,2017-2018,Tottenham,Newcastle United,61-75,69,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,1,1.7,5.5,4.0,0.5882352941176471,Moderate
7128_Manchester United,7128,2017-2018,Manchester United,West Ham United,46-60,52,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.3,12.0,5.75,0.7692307692307692,Strong Favorite
7129_Manchester United,7129,2017-2018,Manchester United,Swansea City,76-90+,79,False,False,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.36,11.0,5.0,0.7352941176470588,Strong Favorite
7130_Southampton,7130,2017-2018,Southampton,West Ham United,31-45+,37,False,True,2,0,2-0,3,2,W,1,0,0,3,0,0,1,1.75,5.25,3.8,0.5714285714285714,Moderate
7131_Watford,7131,2017-2018,Watford,AFC Bournemouth,76-90+,85,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,4.0,2.0,3.6,0.25,Underdog
7133_Leicester City,7133,2017-2018,Leicester City,Brighton,46-60,53,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.73,5.5,3.8,0.5780346820809249,Moderate
7140_Chelsea,7140,2017-2018,Chelsea,Everton,31-45+,39,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.45,8.5,4.5,0.6896551724137931,Strong Favorite
7141_Swansea City,7141,2017-2018,Swansea City,Crystal Palace,31-45+,47,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,4.33,1.95,3.5,0.23094688221709,Underdog
7142_Newcastle United,7142,2017-2018,Newcastle United,West Ham United,61-75,71,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,2.3,3.4,3.4,0.4347826086956522,Moderate
7145_Manchester United,7145,2017-2018,Manchester United,Leicester City,76-90+,81,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.33,11.0,5.5,0.7518796992481203,Strong Favorite
7148_Liverpool,7148,2017-2018,Liverpool,Arsenal,31-45+,39,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,2.15,3.5,3.7,0.4651162790697674,Moderate
7149_Manchester City,7149,2017-2018,Manchester City,Liverpool,46-60,50,False,True,2,0,2-0,5,0,W,1,0,0,3,0,0,1,1.85,4.2,4.0,0.5405405405405405,Moderate
7150_Watford,7150,2017-2018,Watford,Southampton,61-75,65,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,6.0,1.65,4.0,0.1666666666666666,Underdog
7151_Chelsea,7151,2017-2018,Chelsea,Leicester City,31-45+,49,False,False,2,0,2-0,2,1,W,1,0,0,3,0,0,0,1.8,4.75,3.9,0.5555555555555556,Moderate
7152_Arsenal,7152,2017-2018,Arsenal,AFC Bournemouth,16-30,26,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.36,9.0,5.5,0.7352941176470588,Strong Favorite
7153_Brighton,7153,2017-2018,Brighton,West Bromwich Albion,31-45+,47,False,True,2,0,2-0,3,1,W,1,0,0,3,0,0,0,2.7,3.0,3.1,0.3703703703703703,Underdog
7154_Tottenham,7154,2017-2018,Tottenham,Everton,31-45+,41,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,2.1,3.8,3.5,0.4761904761904761,Moderate
7158_West Ham United,7158,2017-2018,West Ham United,Huddersfield,76-90+,76,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.95,4.5,3.5,0.5128205128205129,Moderate
7164_Manchester City,7164,2017-2018,Manchester City,Watford,16-30,30,False,False,2,0,2-0,6,0,W,1,0,0,3,0,0,0,1.33,9.0,6.0,0.7518796992481203,Strong Favorite
7168_Manchester United,7168,2017-2018,Manchester United,Everton,76-90+,82,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.36,10.0,5.25,0.7352941176470588,Strong Favorite
7169_Tottenham,7169,2017-2018,Tottenham,West Ham United,31-45+,37,False,False,2,0,2-0,3,2,W,1,0,0,3,0,1,0,1.6,6.0,4.33,0.625,Strong Favorite
7170_Chelsea,7170,2017-2018,Chelsea,Stoke City,16-30,29,False,False,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.62,6.0,4.1,0.6172839506172839,Moderate
7173_Manchester City,7173,2017-2018,Manchester City,Crystal Palace,46-60,50,False,True,2,0,2-0,5,0,W,1,0,0,3,0,0,0,1.14,21.0,10.0,0.8771929824561404,Strong Favorite
7176_Liverpool,7176,2017-2018,Liverpool,Leicester City,16-30,22,False,False,2,0,2-0,3,2,W,1,0,0,3,0,0,0,1.91,4.1,3.9,0.5235602094240838,Moderate
7178_Arsenal,7178,2017-2018,Arsenal,West Bromwich Albion,61-75,66,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.33,11.0,5.5,0.7518796992481203,Strong Favorite
7179_Tottenham,7179,2017-2018,Tottenham,Huddersfield,0-15,15,False,False,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.36,8.5,4.75,0.7352941176470588,Strong Favorite
